Suburb;Address;Rooms;Type;Price;Distance;Postcode;Bedroom2;Bathroom;Car;Landsize;Regionname
Abbotsford;5/20 Abbotsford St;1;u;426000.0;2.5;3067.0;1.0;1.0;1.0;0.0;Northern Metropolitan
Abbotsford;48 Abbotsford St;3;h;1447500.0;2.5;3067.0;3.0;3.0;1.0;166.0;Northern Metropolitan
Abbotsford;116/56 Nicholson St;1;u;457000.0;2.5;3067.0;1.0;1.0;1.0;0.0;Northern Metropolitan
Abbotsford;159 Park St;2;h;1135000.0;2.5;3067.0;2.0;2.0;2.0;98.0;Northern Metropolitan
Abbotsford;31 Turner St;4;h;1542000.0;2.5;3067.0;4.0;3.0;1.0;0.0;Northern Metropolitan
Abbotsford;166 Gipps St;3;h;1290000.0;2.5;3067.0;3.0;2.0;2.0;147.0;Northern Metropolitan
Abbotsford;60 Stafford St;3;h;1290000.0;2.5;3067.0;3.0;1.0;1.0;168.0;Northern Metropolitan
Abbotsford;11/205 Gipps St;1;u;470000.0;2.5;3067.0;1.0;1.0;1.0;0.0;Northern Metropolitan
Abbotsford;47 Studley St;2;h;1180000.0;2.5;3067.0;2.0;1.0;0.0;162.0;Northern Metropolitan
Abbotsford;45 Yarra St;3;h;1195000.0;2.5;3067.0;3.0;2.0;1.0;120.0;Northern Metropolitan
Abbotsford;200 Nicholson St;2;h;1012500.0;2.5;3067.0;2.0;1.0;0.0;182.0;Northern Metropolitan
Abbotsford;27 Charles St;2;h;1030000.0;2.5;3067.0;2.0;1.0;1.0;172.0;Northern Metropolitan
Airport West;154 Halsey Rd;3;t;840000.0;13.5;3042.0;3.0;2.0;1.0;303.0;Western Metropolitan
Airport West;50 Bedford St;3;h;730000.0;13.5;3042.0;3.0;2.0;1.0;0.0;Western Metropolitan
Airport West;50 Bedford St;3;h;770000.0;13.5;3042.0;3.0;2.0;1.0;0.0;Western Metropolitan
Airport West;23 Hart St;2;h;603000.0;13.5;3042.0;2.0;1.0;1.0;272.0;Western Metropolitan
Airport West;1/80 Hawker St;3;t;700000.0;13.5;3042.0;3.0;2.0;2.0;239.0;Western Metropolitan
Airport West;1/37 Hillside Gr;3;h;600000.0;13.5;3042.0;2.0;1.0;1.0;290.0;Western Metropolitan
Airport West;2/49 McIntosh St;2;u;500000.0;13.5;3042.0;2.0;1.0;1.0;168.0;Western Metropolitan
Airport West;54 Marshall Rd;3;h;720000.0;13.5;3042.0;2.0;1.0;1.0;620.0;Western Metropolitan
Airport West;36 Roberts Rd;4;h;785000.0;13.5;3042.0;3.0;1.0;2.0;597.0;Western Metropolitan
Airport West;11 Harrington Rd;6;h;725000.0;13.5;3042.0;6.0;3.0;2.0;976.0;Western Metropolitan
Airport West;2/252 Parer Rd;2;t;450000.0;13.5;3042.0;2.0;1.0;1.0;110.0;Western Metropolitan
Airport West;3/19 Hart St;2;u;515000.0;13.5;3042.0;2.0;1.0;1.0;141.0;Western Metropolitan
Airport West;2/62 Clydesdale Rd;2;u;530000.0;13.5;3042.0;2.0;1.0;1.0;120.0;Western Metropolitan
Airport West;3 Deidre Ct;3;h;895000.0;13.5;3042.0;3.0;1.0;6.0;1063.0;Western Metropolitan
Airport West;13 Etzel St;3;h;805000.0;13.5;3042.0;3.0;1.0;1.0;0.0;Western Metropolitan
Airport West;1/43 Cameron St;3;u;752000.0;13.5;3042.0;3.0;1.0;1.0;265.0;Western Metropolitan
Airport West;145a Victory Rd;2;u;440000.0;13.5;3042.0;2.0;1.0;1.0;192.0;Western Metropolitan
Airport West;241 Parer Rd;5;h;755000.0;13.5;3042.0;3.0;2.0;2.0;596.0;Western Metropolitan
Airport West;2/40 Earl St;3;t;700000.0;13.5;3042.0;3.0;2.0;2.0;165.0;Western Metropolitan
Airport West;180 Parer Rd;3;h;830000.0;13.5;3042.0;3.0;1.0;2.0;971.0;Western Metropolitan
Airport West;4/54 Hawker St;2;u;462500.0;13.5;3042.0;2.0;1.0;1.0;164.0;Western Metropolitan
Airport West;43 Hillside Gr;3;h;670000.0;13.5;3042.0;3.0;2.0;2.0;657.0;Western Metropolitan
Airport West;174 Parer Rd;2;h;675000.0;13.5;3042.0;2.0;1.0;1.0;612.0;Western Metropolitan
Airport West;138 Victory Rd;3;h;1042000.0;13.5;3042.0;3.0;2.0;5.0;612.0;Western Metropolitan
Airport West;75 King St;3;h;910000.0;13.5;3042.0;3.0;1.0;1.0;775.0;Western Metropolitan
Airport West;6 Kittyhawk St;4;h;773000.0;13.5;3042.0;5.0;3.0;4.0;531.0;Western Metropolitan
Airport West;478 Fullarton Rd;3;h;810000.0;13.5;3042.0;3.0;3.0;2.0;555.0;Western Metropolitan
Airport West;144 Marshall Rd;3;h;715000.0;13.5;3042.0;3.0;2.0;2.0;422.0;Western Metropolitan
Airport West;106 Parer Rd;3;h;790000.0;13.5;3042.0;3.0;1.0;3.0;614.0;Western Metropolitan
Airport West;3/7 South Rd;3;t;540000.0;13.5;3042.0;2.0;2.0;1.0;161.0;Western Metropolitan
Airport West;37 North St;3;t;825000.0;13.5;3042.0;3.0;2.0;1.0;293.0;Western Metropolitan
Airport West;10 Hilbert Rd;3;h;685000.0;13.5;3042.0;3.0;1.0;1.0;579.0;Western Metropolitan
Airport West;110 Halsey Rd;3;h;805000.0;13.5;3042.0;3.0;1.0;1.0;623.0;Western Metropolitan
Airport West;2/13 North St;2;u;510000.0;13.5;3042.0;2.0;1.0;1.0;141.0;Western Metropolitan
Airport West;105a Victory Rd;3;h;612000.0;13.5;3042.0;3.0;2.0;1.0;212.0;Western Metropolitan
Airport West;117 Marshall Rd;3;h;662000.0;13.5;3042.0;3.0;1.0;2.0;612.0;Western Metropolitan
Airport West;34 Moorna Dr;4;h;978000.0;13.5;3042.0;4.0;3.0;2.0;532.0;Western Metropolitan
Airport West;33 North St;3;h;720000.0;13.5;3042.0;3.0;1.0;1.0;585.0;Western Metropolitan
Airport West;49 Roberts Rd;4;h;765000.0;13.5;3042.0;4.0;1.0;2.0;509.0;Western Metropolitan
Airport West;85 Roberts Rd;4;h;900000.0;13.5;3042.0;4.0;2.0;3.0;628.0;Western Metropolitan
Albert Park;105 Kerferd Rd;2;h;1275000.0;3.3;3206.0;2.0;1.0;0.0;120.0;Southern Metropolitan
Albert Park;85 Richardson St;2;h;1455000.0;3.3;3206.0;2.0;1.0;0.0;159.0;Southern Metropolitan
Albert Park;112 Beaconsfield Pde;3;h;2850000.0;3.3;3206.0;3.0;2.0;0.0;211.0;Southern Metropolitan
Albert Park;94 Graham St;3;h;1850000.0;3.3;3206.0;3.0;2.0;0.0;128.0;Southern Metropolitan
Albert Park;396 Montague St;2;h;1436000.0;3.3;3206.0;2.0;1.0;0.0;130.0;Southern Metropolitan
Albert Park;75 Graham St;2;h;1110000.0;3.3;3206.0;1.0;1.0;0.0;147.0;Southern Metropolitan
Albert Park;54 Brooke St;2;h;1550000.0;3.3;3206.0;2.0;1.0;1.0;167.0;Southern Metropolitan
Albert Park;104 Richardson St;4;h;2300000.0;3.3;3206.0;4.0;2.0;1.0;153.0;Southern Metropolitan
Albert Park;4a Mills St;3;t;1550000.0;3.3;3206.0;3.0;2.0;2.0;718.0;Southern Metropolitan
Albert Park;1 Moubray St;3;h;1800000.0;3.3;3206.0;3.0;2.0;1.0;132.0;Southern Metropolitan
Albert Park;29 Faussett St;2;h;2120000.0;3.3;3206.0;2.0;1.0;1.0;199.0;Southern Metropolitan
Albert Park;3 Herbert St;3;h;1800000.0;3.3;3206.0;3.0;1.0;1.0;253.0;Southern Metropolitan
Albert Park;24 Kerferd Pl;3;h;1800000.0;3.3;3206.0;3.0;2.0;1.0;90.0;Southern Metropolitan
Albert Park;44 Draper St;2;h;1810000.0;3.3;3206.0;2.0;1.0;0.0;240.0;Southern Metropolitan
Albert Park;2 Dundas Pl;3;h;2615000.0;3.3;3206.0;3.0;2.0;1.0;177.0;Southern Metropolitan
Albert Park;23 Finlay St;5;h;2100000.0;3.3;3206.0;5.0;2.0;1.0;237.0;Southern Metropolitan
Albert Park;31 Richardson St;3;h;1300000.0;3.3;3206.0;3.0;1.0;0.0;129.0;Southern Metropolitan
Albert Park;4a Gatehouse La;3;h;1370000.0;3.3;3206.0;3.0;2.0;2.0;0.0;Southern Metropolitan
Albert Park;60 Brooke St;2;h;1000000.0;3.3;3206.0;2.0;1.0;0.0;288.0;Southern Metropolitan
Albert Park;70 Barrett St;3;h;2575000.0;3.3;3206.0;3.0;2.0;1.0;228.0;Southern Metropolitan
Albert Park;65 Graham St;2;h;1322500.0;3.3;3206.0;2.0;1.0;0.0;149.0;Southern Metropolitan
Albert Park;364 Montague St;2;h;1562500.0;3.3;3206.0;2.0;1.0;0.0;141.0;Southern Metropolitan
Albert Park;86 Mills St;3;h;2000000.0;3.3;3206.0;3.0;2.0;1.0;211.0;Southern Metropolitan
Albert Park;129 Kerferd Rd;3;h;1900000.0;3.3;3206.0;3.0;1.0;0.0;209.0;Southern Metropolitan
Albert Park;97 Page St;3;h;3010000.0;3.3;3206.0;3.0;2.0;0.0;147.0;Southern Metropolitan
Albert Park;55 Withers St;4;h;2800000.0;3.3;3206.0;4.0;3.0;1.0;327.0;Southern Metropolitan
Albert Park;10/140 Kerferd Rd;2;u;647000.0;3.3;3206.0;2.0;1.0;1.0;0.0;Southern Metropolitan
Albert Park;55 Merton St;3;h;2100000.0;3.3;3206.0;2.0;1.0;1.0;120.0;Southern Metropolitan
Albert Park;49 Page St;3;h;2000000.0;3.3;3206.0;3.0;1.0;1.0;238.0;Southern Metropolitan
Albert Park;13/52 Moubray St;1;u;442500.0;3.3;3206.0;1.0;1.0;0.0;0.0;Southern Metropolitan
Albert Park;115 Page St;4;h;4735000.0;3.3;3206.0;4.0;2.0;1.0;330.0;Southern Metropolitan
Albert Park;32 Page St;2;h;1340000.0;3.3;3206.0;2.0;1.0;0.0;136.0;Southern Metropolitan
Albert Park;34 Richardson St;3;h;1801000.0;3.3;3206.0;3.0;1.0;1.0;202.0;Southern Metropolitan
Albert Park;2b Dundas Pl;3;h;1532000.0;3.3;3206.0;3.0;3.0;1.0;0.0;Southern Metropolitan
Albert Park;22 Greig St;3;h;3755000.0;3.3;3206.0;3.0;2.0;2.0;325.0;Southern Metropolitan
Albert Park;27 Barrett St;4;h;2140000.0;3.3;3206.0;3.0;2.0;1.0;183.0;Southern Metropolitan
Albert Park;44 Greig St;2;h;1750000.0;3.3;3206.0;2.0;1.0;1.0;162.0;Southern Metropolitan
Albert Park;6 Brooke St;2;h;980000.0;3.3;3206.0;2.0;1.0;0.0;79.0;Southern Metropolitan
Albert Park;227a Danks St;3;h;2030000.0;3.3;3206.0;3.0;2.0;0.0;152.0;Southern Metropolitan
Albert Park;17 Reed St;3;h;1740000.0;3.3;3206.0;3.0;2.0;2.0;147.0;Southern Metropolitan
Albert Park;74 Bridport St;3;h;2800000.0;3.3;3206.0;3.0;3.0;1.0;0.0;Southern Metropolitan
Albert Park;9 Durham St;1;h;985000.0;3.3;3206.0;1.0;1.0;0.0;81.0;Southern Metropolitan
Alphington;6 Smith St;4;h;2000000.0;6.4;3078.0;3.0;2.0;4.0;853.0;Northern Metropolitan
Alphington;5/6 Yarralea St;3;h;1110000.0;6.4;3078.0;3.0;2.0;2.0;208.0;Northern Metropolitan
Alphington;136A Fulham Rd;3;h;1492000.0;6.4;3078.0;3.0;2.0;2.0;411.0;Northern Metropolitan
Alphington;44 Shiers St;4;h;1717500.0;6.4;3078.0;4.0;2.0;1.0;599.0;Northern Metropolitan
Alphington;83 Fulham Rd;5;h;2840000.0;6.4;3078.0;5.0;4.0;4.0;809.0;Northern Metropolitan
Alphington;3/19 Harker St;2;u;525500.0;6.4;3078.0;2.0;1.0;1.0;88.0;Northern Metropolitan
Alphington;4/2 Miller St;2;t;805000.0;6.4;3078.0;2.0;2.0;3.0;155.0;Northern Metropolitan
Alphington;2/5 Yarana Rd;2;u;465000.0;6.4;3078.0;2.0;1.0;1.0;0.0;Northern Metropolitan
Alphington;815 Heidelberg Rd;3;h;2000000.0;6.4;3078.0;3.0;3.0;2.0;686.0;Northern Metropolitan
Alphington;44 Naroon Rd;3;h;1540000.0;6.4;3078.0;3.0;1.0;2.0;592.0;Northern Metropolitan
Alphington;3/98 Grange Rd;2;u;820000.0;6.4;3078.0;2.0;1.0;1.0;183.0;Northern Metropolitan
Alphington;10 Bennett St;4;h;1830000.0;6.4;3078.0;4.0;2.0;2.0;606.0;Northern Metropolitan
Alphington;38 Bennett St;4;h;2100000.0;6.4;3078.0;4.0;2.0;2.0;575.0;Northern Metropolitan
Alphington;2c Hamilton St;3;h;865000.0;6.4;3078.0;3.0;1.0;1.0;180.0;Northern Metropolitan
Alphington;5/5 Yarana Rd;2;u;390000.0;6.4;3078.0;2.0;1.0;1.0;0.0;Northern Metropolitan
Alphington;7/7 Chandler Hwy;2;t;650000.0;6.4;3078.0;0.0;1.0;0.0;0.0;Northern Metropolitan
Alphington;1/14 Fulham Rd;2;u;512000.0;6.4;3078.0;2.0;1.0;1.0;0.0;Northern Metropolitan
Alphington;22 Lowther St;3;h;1165000.0;6.4;3078.0;3.0;1.0;2.0;979.0;Northern Metropolitan
Alphington;11 Margaret Gr;4;h;1900000.0;6.4;3078.0;4.0;2.0;2.0;556.0;Northern Metropolitan
Alphington;6 Naroon Rd;3;h;1485000.0;6.4;3078.0;3.0;0.0;0.0;597.0;Northern Metropolitan
Alphington;42 Shiers St;4;h;1950000.0;6.4;3078.0;4.0;2.0;3.0;589.0;Northern Metropolitan
Altona;158 Queen St;3;h;520000.0;13.8;3018.0;3.0;2.0;1.0;352.0;Western Metropolitan
Altona;59 Bracken Gr;5;h;1525000.0;13.8;3018.0;5.0;3.0;3.0;729.0;Western Metropolitan
Altona;1/123 Blyth St;2;t;720000.0;13.8;3018.0;2.0;1.0;2.0;292.0;Western Metropolitan
Altona;4 Blyth St;3;h;1120000.0;13.8;3018.0;3.0;1.0;2.0;506.0;Western Metropolitan
Altona;20 Linnet St;4;h;780000.0;13.8;3018.0;4.0;1.0;4.0;655.0;Western Metropolitan
Altona;29 Rose St;4;h;1780000.0;13.8;3018.0;4.0;3.0;6.0;1057.0;Western Metropolitan
Altona;1/170 Blyth St;3;u;630000.0;13.8;3018.0;2.0;1.0;2.0;311.0;Western Metropolitan
Altona;5/35 Grieve Pde;2;u;406000.0;13.8;3018.0;2.0;1.0;1.0;65.0;Western Metropolitan
Altona;156 Maidstone St;3;h;660000.0;13.8;3018.0;3.0;1.0;1.0;602.0;Western Metropolitan
Altona;11 Keeshan Ct;3;h;683500.0;13.8;3018.0;3.0;1.0;1.0;530.0;Western Metropolitan
Altona;1/136 Queen St;2;u;580000.0;13.8;3018.0;2.0;1.0;1.0;225.0;Western Metropolitan
Altona;173 Queen St;3;h;1335000.0;13.8;3018.0;3.0;1.0;4.0;777.0;Western Metropolitan
Altona;1/265 Queen St;3;t;800000.0;13.8;3018.0;3.0;2.0;2.0;280.0;Western Metropolitan
Altona;3/26 Grieve Pde;2;u;510000.0;13.8;3018.0;2.0;1.0;1.0;127.0;Western Metropolitan
Altona;261 Queen St;4;h;1070000.0;13.8;3018.0;4.0;2.0;2.0;695.0;Western Metropolitan
Altona;4/5 Rose St;2;u;425000.0;13.8;3018.0;2.0;1.0;2.0;115.0;Western Metropolitan
Altona;1/60 David St;3;u;605000.0;13.8;3018.0;3.0;2.0;2.0;230.0;Western Metropolitan
Altona;1A Merritt Ct;3;t;705000.0;13.8;3018.0;3.0;2.0;2.0;197.0;Western Metropolitan
Altona;4/31 Millers Rd;2;u;391000.0;13.8;3018.0;2.0;1.0;1.0;0.0;Western Metropolitan
Altona;111/112 Pier St;2;u;440000.0;13.8;3018.0;2.0;1.0;1.0;0.0;Western Metropolitan
Altona;24 Wren St;4;h;845000.0;13.8;3018.0;4.0;1.0;2.0;745.0;Western Metropolitan
Altona;1/152 Blyth St;3;t;743000.0;13.8;3018.0;3.0;2.0;2.0;211.0;Western Metropolitan
Altona;4/57 Blyth St;3;u;730000.0;13.8;3018.0;3.0;2.0;1.0;69.0;Western Metropolitan
Altona;164 Maidstone St;3;h;635000.0;13.8;3018.0;3.0;1.0;4.0;625.0;Western Metropolitan
Altona;3/25 Rayner St;2;u;620000.0;13.8;3018.0;2.0;1.0;1.0;168.0;Western Metropolitan
Altona;3/46 Sargood St;2;u;447000.0;13.8;3018.0;2.0;1.0;1.0;137.0;Western Metropolitan
Altona;1/57 Blyth St;3;u;730000.0;13.8;3018.0;3.0;2.0;1.0;70.0;Western Metropolitan
Altona;22 Fenfield St;3;h;678000.0;13.8;3018.0;3.0;1.0;2.0;606.0;Western Metropolitan
Altona;5/8 David St;2;u;580000.0;13.8;3018.0;2.0;2.0;1.0;175.0;Western Metropolitan
Altona;1/28 Seves St;3;h;712000.0;13.8;3018.0;3.0;1.0;2.0;363.0;Western Metropolitan
Altona;27 McIntyre Dr;3;h;840000.0;13.8;3018.0;3.0;2.0;2.0;534.0;Western Metropolitan
Altona;4 Boyd St;3;h;980000.0;13.8;3018.0;3.0;1.0;2.0;724.0;Western Metropolitan
Altona;12 Spear Ct;3;t;605100.0;13.8;3018.0;3.0;2.0;0.0;265.0;Western Metropolitan
Altona;185 Queen St;3;h;880000.0;13.8;3018.0;3.0;3.0;1.0;577.0;Western Metropolitan
Altona;3/20 Mulga St;3;u;577000.0;13.8;3018.0;3.0;2.0;1.0;205.0;Western Metropolitan
Altona;51 Millers Rd;4;h;1030000.0;13.8;3018.0;4.0;1.0;0.0;797.0;Western Metropolitan
Altona;2/119 Railway St N;3;u;605000.0;13.8;3018.0;3.0;1.0;2.0;181.0;Western Metropolitan
Altona;24 McIntyre Dr;3;h;753000.0;13.8;3018.0;3.0;2.0;2.0;529.0;Western Metropolitan
Altona;104 Maidstone St;2;h;857000.0;13.8;3018.0;2.0;2.0;1.0;675.0;Western Metropolitan
Altona;49 Bent St;3;h;1500000.0;13.8;3018.0;3.0;1.0;1.0;929.0;Western Metropolitan
Altona;5/57 Blyth St;3;u;730000.0;13.8;3018.0;3.0;2.0;1.0;70.0;Western Metropolitan
Altona;15 Kookaburra St;3;h;900000.0;13.8;3018.0;3.0;1.0;4.0;697.0;Western Metropolitan
Altona;219 Civic Pde;3;h;740000.0;13.8;3018.0;3.0;1.0;2.0;604.0;Western Metropolitan
Altona;3 Curtin Ct;4;h;931000.0;13.8;3018.0;4.0;2.0;3.0;532.0;Western Metropolitan
Altona;2/60 David St;2;h;535600.0;13.8;3018.0;2.0;1.0;1.0;154.0;Western Metropolitan
Altona North;45 Hearn St;5;h;1085000.0;11.1;3025.0;5.0;3.0;6.0;592.0;Western Metropolitan
Altona North;4 Knapp St;3;h;781000.0;11.1;3025.0;3.0;1.0;2.0;533.0;Western Metropolitan
Altona North;21 Hatherley Gr;3;h;750000.0;11.1;3025.0;3.0;1.0;3.0;554.0;Western Metropolitan
Altona North;3/66 Marion St;2;t;421000.0;11.1;3025.0;2.0;1.0;1.0;77.0;Western Metropolitan
Altona North;153 Mills St;3;h;1405000.0;11.1;3025.0;3.0;1.0;3.0;655.0;Western Metropolitan
Altona North;33 Carthy St;3;h;683000.0;11.1;3025.0;3.0;1.0;2.0;534.0;Western Metropolitan
Altona North;16 Harris St;3;h;623000.0;11.1;3025.0;3.0;1.0;3.0;540.0;Western Metropolitan
Altona North;1/5 Little St;3;h;720000.0;11.1;3025.0;3.0;2.0;1.0;0.0;Western Metropolitan
Altona North;1/95 Mills St;3;h;588000.0;11.1;3025.0;3.0;1.0;1.0;328.0;Western Metropolitan
Altona North;5 Binns St;3;h;710000.0;11.1;3025.0;3.0;1.0;3.0;540.0;Western Metropolitan
Altona North;25 Allan St;4;h;875000.0;11.1;3025.0;3.0;1.0;4.0;559.0;Western Metropolitan
Altona North;21 Hatherley Gr;3;h;700000.0;11.1;3025.0;3.0;1.0;3.0;554.0;Western Metropolitan
Altona North;1/256 Mason St;2;t;640000.0;11.1;3025.0;2.0;1.0;1.0;252.0;Western Metropolitan
Altona North;21 Allan St;4;h;650000.0;11.1;3025.0;4.0;1.0;4.0;558.0;Western Metropolitan
Altona North;2/36 May St;3;h;675000.0;11.1;3025.0;3.0;2.0;2.0;171.0;Western Metropolitan
Altona North;11 Beevers St;3;h;708000.0;11.1;3025.0;3.0;1.0;2.0;585.0;Western Metropolitan
Altona North;10 Murphy St;4;h;965000.0;11.1;3025.0;4.0;1.0;4.0;851.0;Western Metropolitan
Altona North;16 Beevers St;3;h;680000.0;11.1;3025.0;3.0;1.0;3.0;551.0;Western Metropolitan
Altona North;21 Neal Ct;3;h;770000.0;11.1;3025.0;3.0;1.0;3.0;602.0;Western Metropolitan
Altona North;31 Duosa Rd;3;h;923000.0;11.1;3025.0;3.0;1.0;2.0;740.0;Western Metropolitan
Altona North;252 Millers Rd;4;h;693000.0;11.1;3025.0;4.0;2.0;4.0;315.0;Western Metropolitan
Altona North;1/156 Chambers Rd;3;h;620000.0;11.1;3025.0;5.0;2.0;2.0;276.0;Western Metropolitan
Altona North;2 Gadsden St;3;h;728500.0;11.1;3025.0;3.0;1.0;1.0;531.0;Western Metropolitan
Altona North;24 Hansen St;3;h;931000.0;11.1;3025.0;3.0;2.0;1.0;590.0;Western Metropolitan
Altona North;4 Prismall St;3;h;988000.0;11.1;3025.0;3.0;1.0;4.0;715.0;Western Metropolitan
Altona North;122 McIntosh Rd;3;h;590000.0;11.1;3025.0;3.0;1.0;2.0;561.0;Western Metropolitan
Altona North;35 May St;2;h;610000.0;11.1;3025.0;2.0;1.0;2.0;691.0;Western Metropolitan
Altona North;6 Hill St;3;h;815000.0;11.1;3025.0;3.0;2.0;3.0;555.0;Western Metropolitan
Altona North;84 May St;4;h;970000.0;11.1;3025.0;4.0;1.0;2.0;708.0;Western Metropolitan
Altona North;155 Chambers Rd;4;h;760000.0;11.1;3025.0;4.0;1.0;3.0;668.0;Western Metropolitan
Altona North;268d Mason St;4;t;847500.0;11.1;3025.0;4.0;3.0;1.0;252.0;Western Metropolitan
Altona North;5 Cresser St;4;h;1200000.0;11.1;3025.0;4.0;1.0;4.0;633.0;Western Metropolitan
Altona North;107 McIntosh Rd;3;h;700000.0;11.1;3025.0;3.0;1.0;1.0;557.0;Western Metropolitan
Altona North;10 Knapp St;3;h;625000.0;11.1;3025.0;3.0;1.0;1.0;536.0;Western Metropolitan
Altona North;4/221 Blackshaws Rd;2;u;292000.0;11.1;3025.0;2.0;1.0;1.0;153.0;Western Metropolitan
Armadale;8/19 Mercer Rd;2;u;599000.0;6.3;3143.0;2.0;1.0;1.0;0.0;Southern Metropolitan
Armadale;1/42 Adelaide St;2;u;550000.0;6.3;3143.0;2.0;1.0;0.0;861.0;Southern Metropolitan
Armadale;14/71 Denbigh Rd;3;u;995000.0;6.3;3143.0;3.0;2.0;2.0;0.0;Southern Metropolitan
Armadale;4/769 High St;3;t;1205000.0;6.3;3143.0;3.0;2.0;2.0;101.0;Southern Metropolitan
Armadale;7 Llaneast St;3;h;1939000.0;6.3;3143.0;3.0;2.0;2.0;296.0;Southern Metropolitan
Armadale;9/55 Northcote Rd;1;u;421500.0;6.3;3143.0;1.0;1.0;0.0;0.0;Southern Metropolitan
Armadale;28 Cambridge St;3;h;1870000.0;6.3;3143.0;3.0;1.0;1.0;217.0;Southern Metropolitan
Armadale;3/16 Fulton St;2;u;678000.0;6.3;3143.0;2.0;1.0;2.0;0.0;Southern Metropolitan
Armadale;3/20 Mercer Rd;3;t;1918000.0;6.3;3143.0;3.0;2.0;2.0;0.0;Southern Metropolitan
Armadale;1/77 Wattletree Rd;2;u;660000.0;6.3;3143.0;2.0;1.0;1.0;0.0;Southern Metropolitan
Armadale;12 Willis St;3;h;2050000.0;6.3;3143.0;3.0;2.0;1.0;205.0;Southern Metropolitan
Armadale;8/71 Denbigh Rd;2;u;700000.0;6.3;3143.0;2.0;1.0;2.0;0.0;Southern Metropolitan
Armadale;11/17 Myamyn St;2;u;3625000.0;6.3;3143.0;3.0;2.0;2.0;0.0;Southern Metropolitan
Armadale;526 Orrong Rd;4;h;3000000.0;6.3;3143.0;4.0;2.0;2.0;1581.0;Southern Metropolitan
Armadale;553 Dandenong Rd;5;h;1525000.0;6.3;3143.0;8.0;2.0;2.0;693.0;Southern Metropolitan
Armadale;9/19 Mercer Rd;3;u;735000.0;6.3;3143.0;3.0;2.0;1.0;2113.0;Southern Metropolitan
Armadale;6/26 Mercer Rd;2;u;825000.0;6.3;3143.0;2.0;1.0;1.0;0.0;Southern Metropolitan
